make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,make_encoded,model_encoded,manufactured_encoded,reg_date_encoded,type_of_vehicle_encoded,category_encoded
land rover,range,2018.0,2018,suv,parf car,0,1884.0,280.0,2995.0,2.0,34270.0,48011,2380.0,103323.0,96000.0,88906.0,132031.0,193788.0,0,0,0,0,0,0
mercedes-benz,c200,2017.0,2017,luxury sedan,"parf car, premium ad car",0,1465.0,135.0,1991.0,2.0,21170.0,47002,1202.0,45179.0,85680.0,40678.0,43950.0,96800.0,1,1,1,1,1,1
honda,odyssey,2007.0,2007,mpv,"coe car, premium ad car, low mileage car",0,1648.0,118.0,2354.0,3.0,12520.0,50355,2442.0,16003.0,138000.0,27994.0,30794.0,39800.0,2,2,2,2,2,2
toyota,altis,2008.0,2008,mid-sized sedan,"coe car, premium ad car",0,1195.0,80.0,1598.0,3.0,10140.0,27571,1113.0,12184.0,160000.0,16084.0,16084.0,44800.0,3,3,3,3,3,3
lexus,gs,2006.0,2006,luxury sedan,"coe car, premium ad car",0,1660.0,183.0,2995.0,6.0,13690.0,48479,3570.0,9138.0,183000.0,50414.0,55456.0,25800.0,4,4,4,4,1,3
honda,s2000,2008.0,2008,sports car,"coe car, consignment car",1,1270.0,177.0,1997.0,6.0,40320.0,32121,1815.0,13614.0,176000.0,38328.0,38328.0,170888.0,2,5,3,3,4,4
lamborghini,huracan,2022.0,2022,sports car,"parf car, rare & exotic, premium ad car, low mileage car",0,1450.0,470.0,5204.0,1.0,137430.0,87000,5834.0,483238.0,5400.0,327323.0,561182.0,1368000.0,5,6,5,5,4,5
mercedes-benz,c200,2017.0,2017,luxury sedan,"parf car, premium ad car, low mileage car",0,1465.0,135.0,1991.0,1.0,22520.0,49000,1202.0,49095.0,49930.0,41077.0,49508.0,102500.0,1,1,1,1,1,6
mitsubishi,evolution,2008.0,2009,sports car,"coe car, premium ad car",0,1550.0,206.0,1998.0,4.0,27450.0,31933,1815.0,14540.0,227124.0,44754.0,44754.0,125000.0,6,7,3,6,4,3
mercedes-benz,c180,2010.0,2011,luxury sedan,"coe car, premium ad car",0,1500.0,115.0,1597.0,5.0,12970.0,39844,1039.0,26734.0,180000.0,31893.0,31893.0,87000.0,1,8,6,7,1,3
subaru,impreza,2007.0,2007,mid-sized sedan,"coe car, premium ad car",1,1260.0,70.0,1597.0,5.0,13130.0,44081,1113.0,14372.0,131941.0,10074.0,11082.0,42800.0,7,9,2,2,3,3
mitsubishi,canter,2019.0,2019,truck,-,1,2380.0,19.0,2998.0,1.0,14080.0,23280,2384.0,11544.0,72702.0,29628.0,1482.0,69800.0,6,10,7,8,5,7
mercedes-benz,e200,2017.0,2017,luxury sedan,"parf car, premium ad car",0,1700.0,110.0,1950.0,2.0,23930.0,57501,1734.0,46976.0,100000.0,46134.0,41588.0,103800.0,1,11,1,1,1,1
bmw,318i,2016.0,2017,luxury sedan,"parf car, premium ad car",0,1425.0,100.0,1499.0,2.0,17210.0,50389,684.0,29459.0,82000.0,29860.0,28804.0,55999.0,8,12,8,1,1,1
audi,q3,2020.0,2020,suv,"parf car, premium ad car",0,1545.0,110.0,1395.0,2.0,20740.0,41510,624.0,51246.0,55000.0,30410.0,34574.0,143800.0,9,13,9,9,0,1
mitsubishi,outlander,2018.0,2018,suv,"parf car, premium ad car, low mileage car",0,1480.0,110.0,1998.0,1.0,16190.0,34381,1210.0,31811.0,47000.0,22527.0,23538.0,84000.0,6,14,0,0,0,6
mazda,3,2017.0,2017,mid-sized sedan,parf car,0,1310.0,88.0,1496.0,2.0,14450.0,52000,682.0,21300.0,87000.0,14761.0,9761.0,47800.0,10,15,1,1,3,0
honda,civic,2018.0,2019,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1324.0,127.0,1498.0,2.0,17430.0,30851,684.0,34304.0,64000.0,26594.0,29232.0,92950.0,2,16,0,8,3,8
bmw,Other,2006.0,2006,sports car,coe car,0,1580.0,190.0,2996.0,5.0,16480.0,47450,3573.0,8580.0,55087.0,73635.0,80999.0,29800.0,8,17,4,4,4,9
mazda,2,2019.0,2020,hatchback,"opc car, parf car",0,1067.0,85.0,1496.0,1.0,10440.0,19534,182.0,25904.0,45000.0,18419.0,18419.0,73800.0,10,18,7,9,6,10
toyota,noah,2018.0,2018,mpv,"parf car, premium ad car, hybrid cars",0,1610.0,100.0,1797.0,1.0,22310.0,38700,974.0,35279.0,85100.0,32573.0,27603.0,105800.0,3,19,0,0,2,11
volkswagen,golf,2018.0,2018,hatchback,"parf car, premium ad car",0,1257.0,81.0,999.0,3.0,13130.0,32699,392.0,25182.0,89450.0,17008.0,17008.0,61800.0,11,20,0,0,6,1
hyundai,elantra,2017.0,2017,mid-sized sedan,"parf car, premium ad car",0,1345.0,93.0,1591.0,1.0,13700.0,46778,738.0,23273.0,129714.0,12579.0,12579.0,50500.0,12,21,1,1,3,1
honda,e,2015.0,2015,mpv,"parf car, premium ad car, low mileage car",0,1855.0,129.0,2356.0,2.0,20010.0,57501,1630.0,25993.0,70000.0,28300.0,31620.0,45800.0,2,22,10,10,2,6
honda,stream,2008.0,2008,mpv,"coe car, low mileage car",0,1350.0,103.0,1799.0,1.0,12860.0,31553,1467.0,13442.0,115000.0,17446.0,6947.0,54800.0,2,23,3,3,2,12
volkswagen,Other,2017.0,2017,luxury sedan,"parf car, premium ad car, low mileage car",0,1716.0,206.0,1984.0,1.0,22110.0,53711,1194.0,54192.0,63161.0,44874.0,54824.0,103800.0,11,17,1,1,1,6
mazda,3,2017.0,2017,mid-sized sedan,parf car,0,1331.0,88.0,1496.0,1.0,15130.0,48401,682.0,21745.0,102151.0,19672.0,14672.0,47800.0,10,15,1,1,3,0
bentley,continental,2022.0,2023,sports car,"parf car, premium ad car, low mileage car",0,2335.0,404.0,3996.0,1.0,116950.0,107889,3944.0,485041.0,1702.0,268927.0,531640.0,1288888.0,13,24,5,11,4,6
bmw,430i,2016.0,2016,luxury sedan,"parf car, premium ad car, low mileage car",0,1540.0,185.0,1998.0,3.0,26250.0,56206,1210.0,48636.0,63000.0,47372.0,58321.0,92888.0,8,25,8,12,1,6
mercedes-benz,Other,2008.0,2009,luxury sedan,"coe car, premium ad car",0,1605.0,150.0,2497.0,2.0,10510.0,31553,2694.0,14350.0,185000.0,55328.0,55328.0,47800.0,1,17,3,6,1,3
honda,cr-v,2016.0,2016,suv,parf car,0,1574.0,140.0,2354.0,3.0,15870.0,46502,1628.0,27206.0,86000.0,30143.0,34201.0,45800.0,2,26,8,12,0,0
mercedes-benz,glc250,2019.0,2020,suv,parf car,0,1735.0,155.0,1991.0,1.0,24340.0,41805,1202.0,63175.0,105000.0,43770.0,53278.0,161800.0,1,27,7,9,0,0
honda,shuttle,2018.0,2019,stationwagon,"parf car, premium ad car, low mileage car",0,1130.0,97.0,1496.0,2.0,14240.0,26301,682.0,19110.0,47000.0,19924.0,9924.0,70800.0,2,28,0,8,7,6
