Id,Predicted,Error,GT
2,146700.84375,3577.796250000014,150278.64
3,75375.03125,1414.6087499999994,76789.64
9,65424.24609375,1508.8360937499965,63915.41
10,56410.14453125,1294.0445312500015,55116.1
11,116046.765625,2488.9743750000052,118535.74
13,83929.6796875,4870.569687499999,79059.11
14,69817.1640625,5624.184062499997,64192.98
15,16102.921875,2038.8381249999984,18141.76
16,78686.109375,4305.4493749999965,74380.66
18,134072.96875,1626.1912500000035,135699.16
20,129491.609375,3801.659375000003,125689.95
21,70363.5859375,8391.865937499999,61971.72
22,35851.53515625,2294.224843750002,38145.76
23,35882.7734375,1252.9365624999991,37135.71
24,90271.4921875,1002.4721874999959,89269.02
25,103825.390625,2074.3493750000052,105899.74
26,123547.0859375,1816.2840624999953,125363.37
28,69749.953125,2355.0568749999948,72105.01
29,212617.734375,1018.4543750000012,211599.28
30,43242.95703125,6091.147031250002,37151.81
32,146259.828125,1957.968125000014,144301.86
33,36218.265625,4379.695625,31838.57
35,69580.9296875,1256.6503125000017,70837.58
36,44733.68359375,1962.2164062500015,46695.9
38,68058.796875,1819.0568749999948,66239.74
40,52992.98828125,2279.0917187500017,55272.08
41,211002.28125,11553.498749999999,222555.78
42,191732.328125,5053.0981249999895,186679.23
44,73714.1171875,2518.0571875000023,71196.06
45,101193.8203125,2347.1796875,103541.0
47,98818.1953125,1351.854687500003,100170.05
49,34528.8828125,1616.0471875000003,36144.93
51,34306.3046875,2598.715312499997,36905.02
53,72055.484375,1440.8456250000017,73496.33
54,90730.2578125,1324.512187500004,92054.77
55,207855.609375,16339.590625000012,224195.2
58,242563.421875,2683.9181249999965,245247.34
59,60316.52734375,1109.077343750003,59207.45
61,40848.8828125,1946.392812500002,38902.49
64,33991.95703125,21274.42703125,12717.53
65,70335.78125,1251.8812500000058,69083.9
66,99097.5390625,2968.8809374999983,102066.42
67,342292.96875,7215.931250000023,349508.9
69,104508.8203125,4740.819687499999,109249.64
72,63769.703125,14096.723124999997,49672.98
74,52765.44921875,1926.709218750002,50838.74
75,199210.3125,14185.6875,213396.0
77,43950.45703125,3944.262968750001,47894.72
79,63848.60546875,3001.2545312500006,66849.86
80,65921.5625,1462.1025000000009,64459.46
82,40186.48828125,2044.5282812500009,38141.96
83,69004.421875,1423.4181249999965,70427.84
86,45537.13671875,1028.103281249998,46565.24
87,161053.265625,4325.715625000012,156727.55
88,241756.03125,13860.951250000013,227895.08
90,67022.7109375,2639.6490625000006,69662.36
91,106027.7421875,1255.1278124999953,107282.87
92,147863.234375,4851.715625000012,152714.95
97,72305.09375,1328.663750000007,70976.43
98,33991.95703125,24349.84703125,9642.11
99,71828.625,4243.955000000002,76072.58
103,87465.546875,2908.723125000004,90374.27
104,55612.765625,1066.9156250000015,54545.85
106,96551.0859375,3480.984062500007,100032.07
107,57620.56640625,2046.576406250002,55573.99
108,102641.9296875,2101.2803125000064,104743.21
110,23918.458984375,13743.968984375,10174.49
112,76893.984375,31495.644375000003,45398.34
113,97812.3984375,3966.5915625000052,101778.99
115,113115.828125,6014.981874999998,119130.81
116,69739.0390625,2039.1709375000064,71778.21
117,320408.75,17246.54999999999,303162.2
118,199899.75,8855.029999999999,208754.78
119,276357.3125,47552.90749999997,323910.22
121,173657.96875,7607.631250000006,181265.6
123,80207.59375,2462.2137499999953,77745.38
125,250899.25,2177.4800000000105,248721.77
126,30709.083984375,1794.5539843750012,28914.53
128,53713.83984375,2334.460156250003,56048.3
130,101355.9765625,3678.1334375000006,105034.11
131,795184.6875,21002.372500000056,816187.06
132,46831.7109375,2031.0990624999977,48862.81
133,134795.015625,18096.874375000014,152891.89
134,95723.109375,7753.000625000001,103476.11
135,6194.17431640625,1490.90568359375,7685.08
136,45687.50390625,3262.043906250001,42425.46
137,67737.3359375,6159.315937500003,61578.02
138,43515.71484375,1088.7548437500009,42426.96
140,140549.984375,1160.9956250000105,141710.98
141,517549.53125,72248.66874999995,589798.2
142,630020.4375,90753.03749999998,539267.4
144,28718.703125,1452.2068749999999,30170.91
145,49537.9140625,1338.9140625,48199.0
146,141475.0,3793.329999999987,137681.67
148,47539.859375,10748.639374999999,36791.22
149,25559.62890625,20620.23890625,4939.39
150,79921.3515625,2162.3884375000052,82083.74
152,80778.484375,2833.5443749999977,77944.94
155,90476.890625,2348.8493750000052,92825.74
157,38274.6484375,11583.071562500001,49857.72
158,279120.21875,12943.811250000028,292064.03
159,114353.125,24069.395000000004,90283.73
160,85012.828125,1652.2681250000023,83360.56
161,98784.265625,6347.215624999997,92437.05
162,48485.3359375,3079.4359374999985,45405.9
163,52285.66015625,12161.819843750003,64447.48
164,11549.109375,1164.5393750000003,10384.57
165,130187.125,3520.945000000007,126666.18
166,84171.09375,4298.423750000002,79872.67
170,18378.375,1083.9550000000017,17294.42
171,20269.314453125,1411.434453124999,18857.88
172,59538.25,4478.620000000003,64016.87
173,2123965.5,36836.5,2160802.0
175,201564.34375,2369.5437500000116,199194.8
178,84667.4921875,7071.482187500005,77596.01
179,143361.125,3183.8550000000105,140177.27
180,54807.44140625,1022.3014062500006,53785.14
181,176801.90625,6667.6362500000105,170134.27
182,85584.0859375,6112.465937500005,79471.62
183,75716.5859375,4327.084062499998,80043.67
184,154403.640625,4063.639374999999,158467.28
185,82023.2890625,1944.0290625000052,80079.26
186,122690.671875,6014.941875000004,116675.73
188,83428.7109375,1520.5990624999977,84949.31
189,830651.3125,132228.28749999998,962879.6
190,105848.4921875,1153.5178124999948,107002.01
191,79311.3828125,3951.967187500006,83263.35
192,204613.921875,7721.281874999986,196892.64
193,50580.6015625,2560.5215624999983,48020.08
194,4173.73388671875,2473.4861132812503,6647.22
195,293939.46875,21888.628749999974,272050.84
196,34943.6015625,1464.3784375000032,36407.98
197,127783.0390625,5251.239062499997,122531.8
199,292760.0,1011.0999999999767,291748.9
200,73869.2890625,1186.0509374999965,75055.34
201,194307.8125,2501.6224999999977,191806.19
202,64616.5859375,1225.2459375000035,63391.34
205,195304.265625,5690.0043749999895,200994.27
