make,model,manufactured,type_of_vehicle,transmission,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,price,reg_year,almost new car,coe car,consignment car,direct owner sale,hybrid cars,imported used vehicle,low mileage car,opc car,parf car,premium ad car,rare & exotic,sgcarmart warranty cars,sta evaluated car,vintage cars
24,400,2018.0,7,0,280.0,2,2995.0,2.0,34270.0,48011,2380.0,103323.0,96000.0,88906.0,132031.0,2,193788.0,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,143,2017.0,1,0,135.0,2,1991.0,2.0,21170.0,47002,1202.0,45179.0,85680.0,40678.0,43950.0,2,96800.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16,359,2007.0,3,0,118.0,2,2354.0,3.0,12520.0,50355,2442.0,16003.0,138000.0,27994.0,30794.0,2,39800.0,2007,0,1,0,0,0,0,1,0,0,1,0,0,0,0
52,115,2008.0,2,0,80.0,2,1598.0,3.0,10140.0,27571,1113.0,12184.0,160000.0,16084.0,16084.0,2,44800.0,2008,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,274,2006.0,1,0,183.0,2,2995.0,6.0,13690.0,48479,3570.0,9138.0,183000.0,50414.0,55456.0,2,25800.0,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,417,2008.0,5,1,177.0,2,1997.0,6.0,40320.0,32121,1815.0,13614.0,176000.0,38328.0,38328.0,2,170888.0,2008,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,281,2022.0,5,0,470.0,2,5204.0,1.0,137430.0,87000,5834.0,483238.0,5400.0,327323.0,561182.0,2,1368000.0,2022,0,0,0,0,0,0,1,0,1,1,1,0,0,0
31,143,2017.0,1,0,135.0,2,1991.0,1.0,22520.0,49000,1202.0,49095.0,49930.0,41077.0,49508.0,2,102500.0,2017,0,0,0,0,0,0,1,0,1,1,0,0,0,0
34,224,2008.0,5,0,206.0,2,1998.0,4.0,27450.0,31933,1815.0,14540.0,227124.0,44754.0,44754.0,2,125000.0,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,0
31,142,2010.0,1,0,115.0,2,1597.0,5.0,12970.0,39844,1039.0,26734.0,180000.0,31893.0,31893.0,2,87000.0,2011,0,1,0,0,0,0,0,0,0,1,0,0,0,0
31,207,2017.0,1,0,110.0,0,1950.0,2.0,23930.0,57501,1734.0,46976.0,100000.0,46134.0,41588.0,2,103800.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,30,2016.0,1,0,100.0,2,1499.0,2.0,17210.0,50389,684.0,29459.0,82000.0,29860.0,28804.0,2,55999.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,383,2020.0,7,0,110.0,2,1395.0,2.0,20740.0,41510,624.0,51246.0,55000.0,30410.0,34574.0,2,143800.0,2020,0,0,0,0,0,0,0,0,1,1,0,0,0,0
34,365,2018.0,7,0,110.0,2,1998.0,1.0,16190.0,34381,1210.0,31811.0,47000.0,22527.0,23538.0,2,84000.0,2018,0,0,0,0,0,0,1,0,1,1,0,0,0,0
29,25,2017.0,2,0,88.0,2,1496.0,2.0,14450.0,52000,682.0,21300.0,87000.0,14761.0,9761.0,2,47800.0,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,12,2019.0,0,0,85.0,2,1496.0,1.0,10440.0,19534,182.0,25904.0,45000.0,18419.0,18419.0,1,73800.0,2020,0,0,0,0,0,0,0,1,1,0,0,0,0,0
52,355,2018.0,3,0,100.0,3,1797.0,1.0,22310.0,38700,974.0,35279.0,85100.0,32573.0,27603.0,2,105800.0,2018,0,0,0,0,1,0,0,0,1,1,0,0,0,0
18,216,2017.0,2,0,93.0,2,1591.0,1.0,13700.0,46778,738.0,23273.0,129714.0,12579.0,12579.0,2,50500.0,2017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16,204,2015.0,3,0,129.0,2,2356.0,2.0,20010.0,57501,1630.0,25993.0,70000.0,28300.0,31620.0,2,45800.0,2015,0,0,0,0,0,0,1,0,1,1,0,0,0,0
16,472,2008.0,3,0,103.0,2,1799.0,1.0,12860.0,31553,1467.0,13442.0,115000.0,17446.0,6947.0,2,54800.0,2008,0,1,0,0,0,0,1,0,0,0,0,0,0,0
54,120,2017.0,1,0,206.0,2,1984.0,1.0,22110.0,53711,1194.0,54192.0,63161.0,44874.0,54824.0,2,103800.0,2017,0,0,0,0,0,0,1,0,1,1,0,0,0,0
29,25,2017.0,2,0,88.0,2,1496.0,1.0,15130.0,48401,682.0,21745.0,102151.0,19672.0,14672.0,2,47800.0,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,177,2022.0,5,0,404.0,2,3996.0,1.0,116950.0,107889,3944.0,485041.0,1702.0,268927.0,531640.0,2,1288888.0,2023,0,0,0,0,0,0,1,0,1,1,0,0,0,0
5,45,2016.0,1,0,185.0,2,1998.0,3.0,26250.0,56206,1210.0,48636.0,63000.0,47372.0,58321.0,2,92888.0,2016,0,0,0,0,0,0,1,0,1,1,0,0,0,0
31,210,2008.0,1,0,150.0,2,2497.0,2.0,10510.0,31553,2694.0,14350.0,185000.0,55328.0,55328.0,2,47800.0,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,0
