make,model,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,dereg_value,price
land rover,land rover-range,2018.0,08-mar-2018,suv,parf car,0,1884.0,280.0,2995.0,2.0,34270.0,48011,103323.0,193788.0
mercedes-benz,mercedes-benz-c200,2017.0,28-dec-2017,luxury sedan,"parf car, premium ad car",0,1465.0,135.0,1991.0,2.0,21170.0,47002,45179.0,96800.0
honda,honda-odyssey,2007.0,19-sep-2007,mpv,"coe car, premium ad car, low mileage car",0,1648.0,118.0,2354.0,3.0,12520.0,50355,16003.0,39800.0
toyota,toyota-altis,2008.0,15-dec-2008,mid-sized sedan,"coe car, premium ad car",0,1195.0,80.0,1598.0,3.0,10140.0,27571,12184.0,44800.0
lexus,lexus-gs,2006.0,22-dec-2006,luxury sedan,"coe car, premium ad car",0,1660.0,183.0,2995.0,6.0,13690.0,48479,9138.0,25800.0
honda,honda-s2000,2008.0,06-nov-2008,sports car,"coe car, consignment car",1,1270.0,177.0,1997.0,6.0,40320.0,32121,13614.0,170888.0
lamborghini,lamborghini-huracan,2022.0,13-may-2022,sports car,"parf car, rare & exotic, premium ad car, low mileage car",0,1450.0,470.0,5204.0,1.0,137430.0,87000,483238.0,1368000.0
mercedes-benz,mercedes-benz-c200,2017.0,28-nov-2017,luxury sedan,"parf car, premium ad car, low mileage car",0,1465.0,135.0,1991.0,1.0,22520.0,49000,49095.0,102500.0
mitsubishi,mitsubishi-evolution,2008.0,05-mar-2009,sports car,"coe car, premium ad car",0,1550.0,206.0,1998.0,4.0,27450.0,31933,14540.0,125000.0
mercedes-benz,mercedes-benz-c180,2010.0,16-mar-2011,luxury sedan,"coe car, premium ad car",0,1500.0,115.0,1597.0,5.0,12970.0,39844,26734.0,87000.0
subaru,subaru-impreza,2007.0,19-sep-2007,mid-sized sedan,"coe car, premium ad car",1,1260.0,70.0,1597.0,5.0,13130.0,44081,14372.0,42800.0
mitsubishi,mitsubishi-canter,2019.0,31-may-2019,truck,-,1,2380.0,19.0,2998.0,1.0,14080.0,23280,11544.0,69800.0
mercedes-benz,mercedes-benz-e200,2017.0,04-dec-2017,luxury sedan,"parf car, premium ad car",0,1700.0,110.0,1950.0,2.0,23930.0,57501,46976.0,103800.0
bmw,bmw-318i,2016.0,11-jan-2017,luxury sedan,"parf car, premium ad car",0,1425.0,100.0,1499.0,2.0,17210.0,50389,29459.0,55999.0
audi,audi-q3,2020.0,16-sep-2020,suv,"parf car, premium ad car",0,1545.0,110.0,1395.0,2.0,20740.0,41510,51246.0,143800.0
mitsubishi,mitsubishi-outlander,2018.0,30-nov-2018,suv,"parf car, premium ad car, low mileage car",0,1480.0,110.0,1998.0,1.0,16190.0,34381,31811.0,84000.0
mazda,mazda-3,2017.0,05-jun-2017,mid-sized sedan,parf car,0,1310.0,88.0,1496.0,2.0,14450.0,52000,21300.0,47800.0
honda,honda-civic,2018.0,11-jan-2019,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",0,1324.0,127.0,1498.0,2.0,17430.0,30851,34304.0,92950.0
bmw,bmw-630ci,2006.0,06-apr-2006,sports car,coe car,0,1580.0,190.0,2996.0,5.0,16480.0,47450,8580.0,29800.0
mazda,mazda-2,2019.0,19-oct-2020,hatchback,"opc car, parf car",0,1067.0,85.0,1496.0,1.0,10440.0,19534,25904.0,73800.0
toyota,toyota-noah,2018.0,29-aug-2018,mpv,"parf car, premium ad car, hybrid cars",0,1610.0,100.0,1797.0,1.0,22310.0,38700,35279.0,105800.0
volkswagen,volkswagen-golf,2018.0,06-aug-2018,hatchback,"parf car, premium ad car",0,1257.0,81.0,999.0,3.0,13130.0,32699,25182.0,61800.0
