,0,Predicted
0,19581.94,
1,33418.03,
2,145927.6,
3,72150.145,
4,27236.805,
5,73551.905,
6,80507.7,
7,215468.63,
8,54913.92,
9,65640.295,
10,57539.78,
11,116636.96,
12,104118.5,
13,85994.24,
14,37172.535,
15,28600.78,
16,74789.175,
17,53142.51,
18,136514.475,
19,98592.04,
20,125142.71,
22,37400.5,
23,38286.86,
24,89526.18,
25,100407.0,
26,120714.555,
27,47514.325,
28,73637.51,
29,212831.6,
30,70473.135,
31,71520.685,
32,144201.135,
33,40046.28,
34,65234.265,
35,73343.63,
36,44176.06,
37,24800.06,
38,66525.86,
39,94125.08,
40,56344.76,
41,211499.995,
42,193619.76,
43,160037.555,
44,76853.06,
45,97837.715,
46,38263.94,
47,103573.88,
48,81446.0,
49,34321.515,
50,53307.75,
51,41384.3,
52,42977.38,
53,72603.69666666667,
54,93918.96916666668,
55,216803.875,
56,88423.625,
57,44649.29,
58,249687.365,
59,65161.0,
60,39415.48,
61,42888.335,
62,129309.56,
63,46852.16,
64,9800.0,
65,71600.935,
66,98161.05,
67,333356.525,
68,44134.98,
69,109722.62,
70,119949.6,
71,36278.98,
72,19875.0,
73,43658.625,
74,61600.0,
75,261681.785,
76,60808.34,
77,41565.87,
78,78500.62,
79,69780.63,
80,65285.59,
81,25782.96,
82,39884.16,
83,66319.665,
84,51143.715,
85,66796.54,
86,46085.905,
87,154401.8967142857,
88,241252.685,
89,64278.225,
90,68213.9,
91,108282.735,
92,119372.72,
93,27989.76846153846,
94,149302.235,
95,22908.5,
96,43896.17,
97,78981.00833333335,
98,30067.99,
99,62654.15,
100,83492.41,
101,127824.2,
102,45681.3,
103,88395.5,
104,62500.84,
105,53924.975,
106,83768.18,
107,60576.88,
108,104427.83,
109,50345.95,
110,43521.48,
111,46456.045,
112,64420.0,
113,90525.37,
114,64487.69,
115,114503.64,
116,61902.04,
117,317635.0,
118,212543.485,
119,323658.57,
120,39684.0,
121,185837.2,
122,22356.52,
123,74145.025,
124,41497.445,
125,254510.74,
126,31827.4,
127,54210.0,
128,51780.08,
129,54000.535,
130,42703.0,
131,784738.32,
132,43083.9,
133,125043.86,
134,101156.485,
135,11942.08,
136,46727.17,
137,59574.0,
138,43112.25,
139,67245.48,
140,139277.4,
141,541552.76,
142,553130.0,
143,162950.0,
144,30464.16,
145,46159.21,
146,135967.335,
147,98086.535,
148,52587.995,
149,24058.44,
150,78677.34,
151,20684.0,
152,82282.275,
153,88891.765,
154,108250.88,
155,88183.4,
156,52851.085,
157,52589.185,
158,249735.1,
159,51812.76,
160,83568.275,
161,102946.94,
162,49146.075,
163,42198.54,
164,63140.68,
165,119737.645,
166,80986.015,
167,52647.72,
168,24756.44,
169,44126.2,
170,20758.88,
171,20586.105,
172,58612.0,
173,2139850.0,
174,38961.38,
175,201757.12,
176,32062.91,
177,48444.67,
178,76580.0,
179,133428.56,
180,49489.59,
181,174269.64,
182,85343.88,
183,60404.5,
184,150704.12,
185,77419.48,
186,110370.55,
187,88573.96,
188,83878.54,
189,888084.36,
190,110348.235,
191,80323.8,
192,207445.305,
193,54437.32,
194,16480.76,
196,38214.585,
197,114142.12,
198,162232.84,
199,286428.18,
200,72106.65,
201,184285.6,
202,64476.35,
203,27407.5,
204,66732.33228571429,
205,178448.09,
206,285946.09,
207,179212.955,
208,45308.5,
209,45800.0,
210,43484.0,
211,70016.22,
213,53260.04,
214,66563.54,
215,29622.11,
216,73749.76,
217,47702.92,
218,88633.24,
219,177721.12,
220,107284.285,
221,106007.82,
222,26195.665,
223,151962.78,
224,57400.415,
225,56266.4,
226,63154.9,
227,21216.58,
228,151000.245,
229,58194.96,
230,70601.14,
231,59963.5,
232,258481.28,
233,35519.265,
234,25273.15,
235,74656.075,
236,86522.275,
237,30499.265,
238,84185.9,
239,71769.44,
240,135479.4,
241,30240.535,
242,85786.43,
243,63063.95,
244,45640.77,
245,240644.625,
246,91092.6,
247,35412.915,
248,25231.08,
249,44472.007312714326,
250,32475.48,
251,72929.74,
252,31785.24,
