make,model,manufactured,type_of_vehicle,transmission,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,reg_year,almost new car,coe car,consignment car,direct owner sale,electric cars,hybrid cars,imported used vehicle,low mileage car,opc car,parf car,premium ad car,rare & exotic,sgcarmart warranty cars,sta evaluated car,vintage cars
34,561,2018.0,8,0,280.0,2995.0,2.0,34270.0,48011,2380.0,103323.0,96000.0,88906.0,132031.0,193788.0,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,178,2017.0,2,0,135.0,1991.0,2.0,21170.0,47002,1202.0,45179.0,85680.0,40678.0,43950.0,96800.0,2017,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23,514,2007.0,4,0,118.0,2354.0,3.0,12520.0,50355,2442.0,16003.0,138000.0,27994.0,30794.0,39800.0,2007,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
71,142,2008.0,3,0,80.0,1598.0,3.0,10140.0,27571,1113.0,12184.0,160000.0,16084.0,16084.0,44800.0,2008,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
35,377,2006.0,2,0,183.0,2995.0,6.0,13690.0,48479,3570.0,9138.0,183000.0,50414.0,55456.0,25800.0,2006,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,585,2008.0,6,1,177.0,1997.0,6.0,40320.0,32121,1815.0,13614.0,176000.0,38328.0,38328.0,170888.0,2008,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33,390,2022.0,6,0,470.0,5204.0,1.0,137430.0,87000,5834.0,483238.0,5400.0,327323.0,561182.0,1368000.0,2022,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
42,178,2017.0,2,0,135.0,1991.0,1.0,22520.0,49000,1202.0,49095.0,49930.0,41077.0,49508.0,102500.0,2017,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
45,298,2008.0,6,0,206.0,1998.0,4.0,27450.0,31933,1815.0,14540.0,227124.0,44754.0,44754.0,125000.0,2009,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
42,177,2010.0,2,0,115.0,1597.0,5.0,12970.0,39844,1039.0,26734.0,180000.0,31893.0,31893.0,87000.0,2011,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
68,404,2007.0,3,1,70.0,1597.0,5.0,13130.0,44081,1113.0,14372.0,133396.0,10074.0,11082.0,42800.0,2007,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45,190,2019.0,9,1,19.0,2998.0,1.0,14080.0,23280,2384.0,11544.0,60779.0,29628.0,1482.0,69800.0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,266,2017.0,2,0,110.0,1950.0,2.0,23930.0,57501,1734.0,46976.0,100000.0,46134.0,41588.0,103800.0,2017,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,45,2016.0,2,0,100.0,1499.0,2.0,17210.0,50389,684.0,29459.0,82000.0,29860.0,28804.0,55999.0,2017,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,544,2020.0,8,0,110.0,1395.0,2.0,20740.0,41510,624.0,51246.0,55000.0,30410.0,34574.0,143800.0,2020,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
45,520,2018.0,8,0,110.0,1998.0,1.0,16190.0,34381,1210.0,31811.0,47000.0,22527.0,23538.0,84000.0,2018,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
40,36,2017.0,3,0,88.0,1496.0,2.0,14450.0,52000,682.0,21300.0,87000.0,14761.0,9761.0,47800.0,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,206,2018.0,3,0,127.0,1498.0,2.0,17430.0,30851,684.0,34304.0,64000.0,26594.0,29232.0,92950.0,2019,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
5,87,2006.0,6,0,190.0,2996.0,5.0,16480.0,47450,3573.0,8580.0,11737.0,73635.0,80999.0,29800.0,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,12,2019.0,1,0,85.0,1496.0,1.0,10440.0,19534,182.0,25904.0,45000.0,18419.0,18419.0,73800.0,2020,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
71,504,2018.0,4,0,100.0,1797.0,1.0,22310.0,38700,974.0,35279.0,85100.0,32573.0,27603.0,105800.0,2018,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
73,368,2018.0,1,0,81.0,999.0,3.0,13130.0,32699,392.0,25182.0,5797.0,17008.0,17008.0,61800.0,2018,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
25,279,2017.0,3,0,93.0,1591.0,1.0,13700.0,46778,738.0,23273.0,129714.0,12579.0,12579.0,50500.0,2017,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
