model,mileage,low mileage car,manufactured,reg_year,type_of_vehicle,dereg_value,depreciation,power,coe,arf,omv,price,road_tax,almost new car,coe car,parf car
561,96000.0,0,2018.0,2018,8,103323.0,34270.0,280.0,48011,132031.0,88906.0,193788.0,2380.0,0,0,1
178,85680.0,0,2017.0,2017,2,45179.0,21170.0,135.0,47002,43950.0,40678.0,96800.0,1202.0,0,0,1
514,138000.0,1,2007.0,2007,4,16003.0,12520.0,118.0,50355,30794.0,27994.0,39800.0,2442.0,0,1,0
142,160000.0,0,2008.0,2008,3,12184.0,10140.0,80.0,27571,16084.0,16084.0,44800.0,1113.0,0,1,0
377,183000.0,0,2006.0,2006,2,9138.0,13690.0,183.0,48479,55456.0,50414.0,25800.0,3570.0,0,1,0
585,176000.0,0,2008.0,2008,6,13614.0,40320.0,177.0,32121,38328.0,38328.0,170888.0,1815.0,0,1,0
390,5400.0,1,2022.0,2022,6,483238.0,137430.0,470.0,87000,561182.0,327323.0,1368000.0,5834.0,0,0,1
178,49930.0,1,2017.0,2017,2,49095.0,22520.0,135.0,49000,49508.0,41077.0,102500.0,1202.0,0,0,1
298,227124.0,0,2008.0,2009,6,14540.0,27450.0,206.0,31933,44754.0,44754.0,125000.0,1815.0,0,1,0
177,180000.0,0,2010.0,2011,2,26734.0,12970.0,115.0,39844,31893.0,31893.0,87000.0,1039.0,0,1,0
404,149390.0,0,2007.0,2007,3,14372.0,13130.0,70.0,44081,11082.0,10074.0,42800.0,1113.0,0,1,0
190,71165.0,0,2019.0,2019,9,11544.0,14080.0,19.0,23280,1482.0,29628.0,69800.0,2384.0,0,0,0
266,100000.0,0,2017.0,2017,2,46976.0,23930.0,110.0,57501,41588.0,46134.0,103800.0,1734.0,0,0,1
45,82000.0,0,2016.0,2017,2,29459.0,17210.0,100.0,50389,28804.0,29860.0,55999.0,684.0,0,0,1
544,55000.0,0,2020.0,2020,8,51246.0,20740.0,110.0,41510,34574.0,30410.0,143800.0,624.0,0,0,1
520,47000.0,1,2018.0,2018,8,31811.0,16190.0,110.0,34381,23538.0,22527.0,84000.0,1210.0,0,0,1
36,87000.0,0,2017.0,2017,3,21300.0,14450.0,88.0,52000,9761.0,14761.0,47800.0,682.0,0,0,1
206,64000.0,0,2018.0,2019,3,34304.0,17430.0,127.0,30851,29232.0,26594.0,92950.0,684.0,0,0,1
87,159572.0,0,2006.0,2006,6,8580.0,16480.0,190.0,47450,80999.0,73635.0,29800.0,3573.0,0,1,0
12,45000.0,0,2019.0,2020,1,25904.0,10440.0,85.0,19534,18419.0,18419.0,73800.0,182.0,0,0,1
504,85100.0,0,2018.0,2018,4,35279.0,22310.0,100.0,38700,27603.0,32573.0,105800.0,974.0,0,0,1
368,85292.0,0,2018.0,2018,1,25182.0,13130.0,81.0,32699,17008.0,17008.0,61800.0,392.0,0,0,1
279,129714.0,0,2017.0,2017,3,23273.0,13700.0,93.0,46778,12579.0,12579.0,50500.0,738.0,0,0,1
257,70000.0,1,2015.0,2015,4,25993.0,20010.0,129.0,57501,31620.0,28300.0,45800.0,1630.0,0,0,1
652,115000.0,1,2008.0,2008,4,13442.0,12860.0,103.0,31553,6947.0,17446.0,54800.0,1467.0,0,1,0
147,63161.0,1,2017.0,2017,2,54192.0,22110.0,206.0,53711,54824.0,44874.0,103800.0,1194.0,0,0,1
36,102151.0,0,2017.0,2017,3,21745.0,15130.0,88.0,48401,14672.0,19672.0,47800.0,682.0,0,0,1
220,1702.0,1,2022.0,2023,6,485041.0,116950.0,404.0,107889,531640.0,268927.0,1288888.0,3944.0,0,0,1
62,63000.0,1,2016.0,2016,2,48636.0,26250.0,185.0,56206,58321.0,47372.0,92888.0,1210.0,0,0,1
269,185000.0,0,2008.0,2009,2,14350.0,10510.0,150.0,31553,55328.0,55328.0,47800.0,2694.0,0,1,0
228,86000.0,0,2016.0,2016,8,27206.0,15870.0,140.0,46502,34201.0,30143.0,45800.0,1628.0,0,0,1
362,105000.0,0,2019.0,2020,8,63175.0,24340.0,155.0,41805,53278.0,43770.0,161800.0,1202.0,0,0,1
616,47000.0,1,2018.0,2019,7,19110.0,14240.0,97.0,26301,9924.0,19924.0,70800.0,682.0,0,0,1
143,52000.0,0,2022.0,2023,8,194953.0,44570.0,243.0,108006,136603.0,89365.0,450000.0,3268.0,0,0,1
21,163888.0,0,2018.0,2018,4,39297.0,13980.0,75.0,38001,37905.0,32789.0,72888.0,684.0,0,0,1
205,95000.0,0,2018.0,2018,3,25705.0,13020.0,88.0,38389,17233.0,17233.0,57800.0,684.0,0,0,1
131,106000.0,1,2011.0,2011,9,28293.0,9570.0,19.0,39522,16282.0,16282.0,68500.0,1815.0,0,1,0
239,113758.0,0,2012.0,2012,9,16155.0,25730.0,19.0,26442,5111.0,102219.0,78600.0,22283.0,0,1,0
543,90000.0,0,2019.0,2019,8,31345.0,16260.0,85.0,26659,26894.0,24924.0,89800.0,392.0,0,0,1
692,113000.0,0,2015.0,2015,1,18889.0,14230.0,90.0,56989,18730.0,22664.0,30800.0,684.0,0,0,1
149,106591.0,0,2016.0,2016,8,24532.0,14090.0,110.0,55501,19041.0,19041.0,42800.0,1210.0,0,0,1
186,120381.0,0,2016.0,2017,9,13159.0,10570.0,19.0,42809,1324.0,26468.0,32500.0,3495.0,0,0,0
368,109000.0,0,2015.0,2016,1,17656.0,15830.0,92.0,53000,10719.0,20513.0,38888.0,624.0,0,0,1
616,65000.0,0,2018.0,2018,7,18094.0,14890.0,101.0,38700,5000.0,20960.0,59600.0,682.0,0,0,1
383,130650.0,1,2008.0,2009,8,20010.0,11920.0,118.0,37941,27778.0,27778.0,62888.0,2457.0,0,1,0
201,112000.0,0,2014.0,2014,3,38273.0,11850.0,95.0,39241,8767.0,13767.0,57800.0,738.0,0,1,0
392,33000.0,0,2021.0,2022,8,122194.0,24030.0,294.0,82501,80801.0,79889.0,219800.0,4086.0,0,0,1
294,170000.0,0,2008.0,2008,4,17973.0,12910.0,125.0,50578,28187.0,28187.0,45888.0,2457.0,0,1,0
155,140000.0,1,2009.0,2009,3,11475.0,9910.0,89.0,25727,336.0,11635.0,44188.0,1107.0,0,1,0
551,81368.0,0,2017.0,2017,8,22315.0,14340.0,85.0,50789,13583.0,18583.0,46800.0,508.0,0,0,1
221,113758.0,0,2011.0,2012,1,13754.0,14850.0,88.0,27020,25966.0,25966.0,37800.0,965.0,0,1,0
