make,model,manufactured,type_of_vehicle,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,reg_year,car_age,almost new car,coe car,consignment car,direct owner sale,electric cars,hybrid cars,imported used vehicle,low mileage car,opc car,parf car,premium ad car,rare & exotic,sgcarmart warranty cars,sta evaluated car,vintage cars,omv_arf_ratio,dereg_coe_ratio
43,595.0,2018.0,8,280.0,2995.0,2.0,34270.0,48011.0,2380.0,103323.0,96000.0,88906.0,132031.0,193788.0,2018,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6733721625981777,2.1520693174480847
51,192.0,2017.0,2,135.0,1991.0,2.0,21170.0,47002.0,1202.0,45179.0,85680.0,40678.0,43950.0,96800.0,2017,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.925551763367463,0.9612144164078125
29,546.0,2007.0,4,118.0,2354.0,3.0,12520.0,50355.0,2442.0,16003.0,138000.0,27994.0,30794.0,39800.0,2007,17,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.9090731960771579,0.3178035944791977
88,156.0,2008.0,3,80.0,1598.0,3.0,10140.0,27571.0,1113.0,12184.0,160000.0,16084.0,16084.0,44800.0,2008,16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.44191360487468717
44,398.0,2006.0,2,183.0,2995.0,6.0,13690.0,48479.0,3570.0,9138.0,183000.0,50414.0,55456.0,25800.0,2006,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9090810732833238,0.1884939870871924
29,620.0,2008.0,6,177.0,1997.0,6.0,40320.0,32121.0,1815.0,13614.0,176000.0,38328.0,38328.0,170888.0,2008,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.4238348743812459
42,415.0,2022.0,6,470.0,5204.0,1.0,137430.0,87000.0,5834.0,483238.0,5400.0,327323.0,561182.0,1368000.0,2022,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0.5832742318891198,5.554459770114943
51,192.0,2017.0,2,135.0,1991.0,1.0,22520.0,49000.0,1202.0,49095.0,49930.0,41077.0,49508.0,102500.0,2017,7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.8297042902157227,1.001938775510204
54,317.0,2008.0,6,206.0,1998.0,4.0,27450.0,31933.0,1815.0,14540.0,227124.0,44754.0,44754.0,125000.0,2009,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.455328343719663
51,191.0,2010.0,2,115.0,1597.0,5.0,12970.0,39844.0,1039.0,26734.0,180000.0,31893.0,31893.0,87000.0,2011,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.6709667704045779
